veranderlike,beginbyte,bytelengte
beginvandata,1,1
weergawe,2,2
batteryadres,4,2
batterytipe,6,2
analoog,8,2
lengtevanantwoord,10,4
datainfo,14,2
batterypaknommer,16,2
aantalbatteryselle,18,2
sel1V,20,4
sel2V,24,4
sel3V,28,4
sel4V,32,4
sel5V,36,4
sel6V,40,4
sel7V,44,4
sel8V,48,4
sel9V,52,4
sel10V,56,4
sel11V,60,4
sel12V,64,4
sel13V,68,4
sel14V,72,4
sel15V,76,4
aantaltempmetings,80,2
temp1,82,4
temp2,86,4
temp3,90,4
temp4,94,4
temp5,98,4
temp6,102,4
batterypakstroom,106,4
batterypaktotalevolts,110,4
oorblywendekapasiteit,114,4
userdefinednumberp,118,2
batterpakvollekapasiteit,120,4
aantalontladingsiklusse,124,4
batterypakontwerpkapasiteit,128,4
oop1,132,4
oop2,136,4
oop3,140,4
oop4,144,4
chksum,148,4
eindvandata,152,1
